state,NO2_AVG_2000,NO2_AVG_2001,NO2_AVG_2002,NO2_AVG_2003,NO2_AVG_2004,NO2_AVG_2005,NO2_AVG_2006,NO2_AVG_2007,NO2_AVG_2008,NO2_AVG_2009,NO2_AVG_2010,NO2_AVG_2011,NO2_AVG_2012,NO2_AVG_2013,NO2_AVG_2014,NO2_AVG_2015,NO2_AVG_2016,Latitude,Longitude
Alabama,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.065634968,9.411745809,9.078580207,9.524873195,32.806671,-86.791130
Alaska,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.658509609,11.116588599,61.370716,-152.404419
Arizona,26.487501590,22.744723429,23.665053890,23.101151234,20.134377322,21.360109213,20.834689963,19.330199391,18.250667085,17.156288055,15.916711956,16.615336007,17.831803367,15.479527667,16.112343224,12.704995142,15.811195012,33.729759,-111.431221
Arkansas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.781744734,8.991394929,9.146337060,10.004748838,9.982133811,10.568827552,9.791679258,8.862050756,8.612832871,34.969704,-92.373123
California,17.580989015,17.760822170,16.755127907,15.794641777,15.151140977,13.965664211,14.016458760,13.076023342,12.977357736,12.873185458,12.247269078,12.282851511,11.071265312,11.761860725,10.883953002,10.269061513,8.101743924,36.116203,-119.681564
Colorado,14.902468989,25.783400717,19.769313210,21.073078468,21.645208251,24.176581787,24.644735139,23.835024832,19.080972471,14.230846937,16.171137842,17.526490973,20.320903629,14.342691030,16.904157375,20.039145445,23.623820286,39.059811,-105.311104
Connecticut,NULL,NULL,NULL,NULL,NULL,NULL,17.444166465,12.619994654,10.542381460,10.860680024,9.739028127,8.533361105,7.276309032,7.411335839,7.237452216,8.045103611,NULL,41.597782,-72.755371
Delaware,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.071232976,12.468177908,10.792126884,11.679319452,10.075421769,13.771055452,39.318523,-75.507141
Florida,12.453038323,12.387594238,11.313961369,10.929812843,9.516472522,8.644359510,8.519962405,6.136312015,5.214251262,6.027942124,5.672489390,5.361869504,5.406926178,4.545726870,4.979451606,4.109642248,5.492868956,27.766279,-81.686783
Georgia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.500656435,13.381185287,11.583259458,9.439669562,10.429543385,9.673003243,11.935326111,33.040619,-83.643074
Hawaii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.889730551,2.890491066,3.116694444,3.449303328,3.564983056,NULL,21.094318,-157.498337
Idaho,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.337445622,9.397004669,9.925650261,NULL,NULL,NULL,NULL,NULL,44.240459,-114.478828
Illinois,26.437457477,22.356801790,19.853930602,20.684056694,18.814219124,17.899080329,17.391594790,14.501693262,14.085935269,13.417118030,13.035390210,12.110594167,11.954034388,10.983771384,10.547532697,8.380404258,10.374431642,40.349457,-88.986137
Indiana,15.287580371,14.947843545,16.392703711,14.522778646,13.780555343,13.230630027,13.922752138,10.994428518,9.288780685,10.135623791,9.392295469,9.906356071,9.840462542,10.359545698,11.333617678,13.494140244,13.857478082,39.849426,-86.258278
Iowa,NULL,NULL,NULL,NULL,NULL,NULL,8.230118,7.358557680,7.458725874,6.996748080,7.497582681,7.359249987,7.577470485,6.766695505,6.348770536,6.067910474,5.994894780,42.011539,-93.210526
Kansas,9.703852443,10.594909158,8.776063160,9.623070340,9.540076842,10.949590485,11.178105495,13.393603279,16.807892210,12.271639795,13.066675313,13.10077026,12.065956740,11.859712666,11.030924597,11.036150472,11.585219366,38.526600,-96.726486
Kentucky,12.672254689,12.557599452,11.074694029,10.843640385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.108201244,11.438002150,7.884836158,NULL,37.668140,-84.670067
Louisiana,17.346074243,17.359238772,18.007522913,15.562502253,15.816226016,14.399629534,14.991752207,15.199116918,13.101188951,12.875143474,12.698542830,11.665706711,11.400542944,9.644705094,10.480869211,9.385910437,NULL,31.169546,-91.867805
Maine,NULL,NULL,NULL,NULL,NULL,NULL,2.336910172,2.800110227,5.859293306,6.676751897,6.161710455,5.592793518,6.063861375,3.913772049,3.583531712,5.027353650,6.556909070,44.693947,-69.381927
Maryland,NULL,NULL,NULL,NULL,NULL,NULL,11.530203601,12.686190871,12.613635995,11.537441530,13.066959929,12.948896150,10.183034609,9.742784202,6.948792607,7.425915335,9.200685739,39.063946,-76.802101
Massachusetts,NULL,24.048433762,22.547330168,22.496309910,16.820704006,18.649079613,18.676900436,19.697182420,19.678690359,18.048384709,17.052750012,18.529944335,15.805084536,17.477490663,15.571230801,14.398738251,15.829273396,42.230171,-71.530106
Michigan,22.640060888,22.779874748,18.171084436,17.560764142,14.568412213,15.670814586,12.525178276,8.125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.326618,-84.536095
Minnesota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.521111348,6.409370177,NULL,6.231659540,6.645456237,NULL,45.694454,-93.900192
Missouri,16.872749911,17.243857966,17.385127200,16.529459207,13.870773633,12.615151788,13.149854324,12.826106706,12.108717340,NULL,NULL,NULL,NULL,12.038474755,11.834839903,13.109978698,12.485846531,38.456085,-92.288368
Nevada,NULL,5.876263130,2.995051135,2.345594428,NULL,NULL,NULL,NULL,NULL,NULL,22.3421667,16.665880236,14.147347522,16.235530771,13.541735445,13.305497062,17.420815154,38.313515,-117.055374
New Hampshire,NULL,NULL,9.989336060,9.368332374,9.768453239,9.146547134,7.333276811,7.621771136,7.219969088,8.225157850,7.668570668,NULL,NULL,NULL,4.442317023,3.320260430,4.294245949,43.452492,-71.563896
New Jersey,20.522181909,23.120570172,24.074683954,23.698987366,19.240871953,19.856827018,17.475928889,18.006937571,15.715290459,NULL,NULL,21.035292152,15.609114326,15.236753,16.081269180,15.023080196,NULL,40.298904,-74.521011
New Mexico,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.406795133,13.742087632,11.770744003,11.614180335,11.182752520,NULL,34.840515,-106.248482
New York,23.167191177,25.031920219,23.964214888,22.882432662,20.890264362,21.335947024,19.239111933,18.541223912,16.70422255,12.976843763,12.980506334,13.088026804,18.094765564,17.919658738,16.920592256,17.165993539,17.847472824,42.165726,-74.948051
North Carolina,15.173354588,13.853614301,12.265520980,11.956116214,10.630065490,12.433632451,12.285188431,13.916445365,11.208203372,9.851958403,11.689251357,9.995173923,8.671511398,8.482232185,7.744522129,6.945403845,7.471213838,35.630066,-79.806419
North Dakota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.347736169,4.921614116,5.418301605,4.477427017,4.581983247,4.762328992,4.481842769,4.299024267,4.671009923,47.528912,-99.784012
Ohio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.509151141,5.079082437,14.719710549,13.829280487,12.638240599,12.016027368,12.478634697,9.760795331,40.388783,-82.764915
Oklahoma,4.770656379,8.271933951,6.610263726,6.296427039,5.396609141,8.134780266,7.873302866,7.787240849,6.230807606,6.454745429,6.441627654,6.743543982,6.482661610,6.744320406,6.022743599,7.805979409,8.125384904,35.565342,-96.928917
Oregon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.425320463,10.952497088,10.359543484,9.054466978,9.132214090,9.063791747,9.730130673,8.553654309,9.187567529,NULL,44.572021,-122.070938
Pennsylvania,16.130557786,15.965630538,14.585166642,14.060989849,13.626997859,13.449164730,12.460241874,12.142219613,11.101861499,10.651820884,10.942915996,11.238375841,11.092222735,9.623867810,9.266645783,6.997646954,7.415981063,40.590752,-77.209755
Rhode Island,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.383758894,6.288014812,7.559365497,7.303875300,7.640185122,7.740604504,41.680893,-71.511780
South Carolina,NULL,NULL,NULL,2.355526345,NULL,NULL,2.047973707,2.030434320,1.739776464,1.450361574,1.425929082,NULL,NULL,NULL,NULL,NULL,9.312170690,33.856892,-80.945007
South Dakota,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.187938959,6.237231801,4.065520120,5.041007641,4.731271003,NULL,44.299782,-99.438828
Tennessee,NULL,NULL,3.085692408,4.821396422,NULL,NULL,NULL,NULL,1.250008350,0.760512117,0.895842556,NULL,NULL,NULL,NULL,0.775572540,1.011591174,35.747845,-86.692345
Texas,16.346747501,16.241309459,16.093998552,15.609971177,13.785695003,13.879088826,13.523946258,13.107004496,10.624742532,8.671117822,10.823314395,10.374971844,10.316445285,9.571832681,9.534497269,9.252532879,10.357078990,31.054487,-97.563461
Utah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.201917795,8.553960393,12.847583547,14.296005787,16.981692980,31.515873143,40.150032,-111.862434
Virginia,17.915558895,NULL,NULL,NULL,NULL,NULL,13.026680568,11.786961742,9.988765413,11.938866517,10.016854249,7.925899978,7.994418604,7.044391262,5.253935297,5.442842526,10.320662867,37.769337,-78.169968
Washington,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.611419757,8.862686762,9.672584833,14.730538103,47.400902,-121.490494
Wisconsin,NULL,NULL,NULL,NULL,NULL,NULL,14.765243103,17.253054774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.268543,-89.616508
Wyoming,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.733818582,2.270178383,NULL,NULL,4.168865709,3.900347929,4.136893999,2.993313720,3.044855313,3.425564389,42.755966,-107.302490